model,case,activities
BPIC20R,1,"['request_for_payment_submitted_by_employee', 'request_for_payment_final_approved_by_supervisor', 'request_for_payment_rejected_by_missing', 'request_for_payment_submitted_by_employee', 'request_for_payment_approved_by_pre_approver', 'request_for_payment_final_approved_by_supervisor', 'request_payment', 'payment_handled', '<EOS>']"
BPIC20R,2,"['request_for_payment_submitted_by_employee', 'request_for_payment_final_approved_by_supervisor', 'request_payment', 'payment_handled', '<EOS>']"
BPIC20R,3,"['request_for_payment_submitted_by_employee', 'request_for_payment_rejected_by_supervisor', 'request_for_payment_rejected_by_employee', 'request_for_payment_submitted_by_employee', 'request_for_payment_final_approved_by_supervisor', 'request_payment', 'payment_handled', '<EOS>']"
BPIC20R,4,"['request_for_payment_submitted_by_employee', 'request_for_payment_final_approved_by_supervisor', 'request_for_payment_rejected_by_missing', 'request_for_payment_submitted_by_employee', 'request_for_payment_approved_by_pre_approver', 'request_for_payment_final_approved_by_supervisor', 'request_payment', 'payment_handled', '<EOS>']"
BPIC20R,5,"['request_for_payment_submitted_by_employee', 'request_for_payment_final_approved_by_supervisor', 'request_for_payment_rejected_by_missing', 'request_for_payment_submitted_by_employee', 'request_for_payment_approved_by_pre_approver', 'request_for_payment_final_approved_by_supervisor', 'request_payment', 'payment_handled', '<EOS>']"
BPIC20R,6,"['request_for_payment_submitted_by_employee', 'request_for_payment_final_approved_by_supervisor', 'request_payment', 'payment_handled', '<EOS>']"
BPIC20R,7,"['request_for_payment_submitted_by_employee', 'request_for_payment_final_approved_by_supervisor', 'request_payment', 'payment_handled', '<EOS>']"
BPIC20R,8,"['request_for_payment_submitted_by_employee', 'request_for_payment_approved_by_pre_approver', 'request_for_payment_final_approved_by_supervisor', 'request_payment', 'payment_handled', '<EOS>']"
BPIC20R,9,"['request_for_payment_submitted_by_employee', 'request_for_payment_final_approved_by_supervisor', 'request_payment', 'payment_handled', '<EOS>']"
BPIC20R,10,"['request_for_payment_submitted_by_employee', 'request_for_payment_final_approved_by_supervisor', 'request_payment', 'payment_handled', '<EOS>']"
BPIC20R,11,"['request_for_payment_submitted_by_employee', 'request_for_payment_final_approved_by_supervisor', 'request_payment', 'payment_handled', '<EOS>']"
BPIC20R,12,"['request_for_payment_submitted_by_employee', 'request_for_payment_final_approved_by_supervisor', 'request_payment', 'payment_handled', '<EOS>']"
BPIC20R,13,"['request_for_payment_submitted_by_employee', 'request_for_payment_approved_by_pre_approver', 'request_for_payment_final_approved_by_supervisor', 'request_payment', 'payment_handled', '<EOS>']"
BPIC20R,14,"['request_for_payment_submitted_by_employee', 'request_for_payment_approved_by_supervisor', 'request_for_payment_final_approved_by_director', 'request_payment', 'payment_handled', '<EOS>']"
BPIC20R,15,"['request_for_payment_submitted_by_employee', 'request_for_payment_final_approved_by_supervisor', 'request_payment', 'payment_handled', '<EOS>']"
BPIC20R,16,"['request_for_payment_submitted_by_employee', 'request_for_payment_final_approved_by_supervisor', 'request_for_payment_rejected_by_missing', 'request_for_payment_submitted_by_employee', 'request_for_payment_final_approved_by_supervisor', 'request_payment', 'payment_handled', '<EOS>']"
BPIC20R,17,"['request_for_payment_submitted_by_employee', 'request_for_payment_final_approved_by_supervisor', 'request_payment', 'payment_handled', '<EOS>']"
BPIC20R,18,"['request_for_payment_submitted_by_employee', 'request_for_payment_final_approved_by_supervisor', 'request_payment', 'payment_handled', '<EOS>']"
BPIC20R,19,"['request_for_payment_submitted_by_employee', 'request_for_payment_approved_by_pre_approver', 'request_for_payment_final_approved_by_supervisor', 'request_payment', 'payment_handled', '<EOS>']"
BPIC20R,20,"['request_for_payment_submitted_by_employee', 'request_for_payment_rejected_by_pre_approver', 'request_for_payment_rejected_by_employee', 'request_for_payment_submitted_by_employee', 'request_for_payment_approved_by_pre_approver', 'request_for_payment_final_approved_by_supervisor', 'request_for_payment_rejected_by_missing', '<EOS>']"
BPIC20R,21,"['request_for_payment_submitted_by_employee', 'request_for_payment_approved_by_pre_approver', 'request_for_payment_final_approved_by_supervisor', 'request_payment', 'payment_handled', '<EOS>']"
BPIC20R,22,"['request_for_payment_submitted_by_employee', 'request_for_payment_final_approved_by_supervisor', 'request_payment', 'payment_handled', '<EOS>']"
BPIC20R,23,"['request_for_payment_submitted_by_employee', 'request_for_payment_approved_by_pre_approver', 'request_for_payment_final_approved_by_supervisor', 'request_payment', 'payment_handled', '<EOS>']"
BPIC20R,24,"['request_for_payment_submitted_by_employee', 'request_for_payment_final_approved_by_supervisor', 'request_payment', 'payment_handled', '<EOS>']"
BPIC20R,25,"['request_for_payment_submitted_by_employee', 'request_for_payment_final_approved_by_supervisor', 'request_payment', 'payment_handled', '<EOS>']"
BPIC20R,26,"['request_for_payment_submitted_by_employee', 'request_for_payment_final_approved_by_supervisor', 'request_payment', 'payment_handled', '<EOS>']"
BPIC20R,27,"['request_for_payment_submitted_by_employee', 'request_for_payment_final_approved_by_supervisor', 'request_for_payment_rejected_by_missing', '<EOS>']"
BPIC20R,28,"['request_for_payment_submitted_by_employee', 'request_for_payment_approved_by_pre_approver', 'request_for_payment_final_approved_by_supervisor', 'request_payment', 'payment_handled', '<EOS>']"
BPIC20R,29,"['request_for_payment_submitted_by_employee', 'request_for_payment_final_approved_by_supervisor', 'request_payment', 'payment_handled', '<EOS>']"
BPIC20R,30,"['request_for_payment_submitted_by_employee', 'request_for_payment_final_approved_by_supervisor', 'request_payment', 'payment_handled', '<EOS>']"
BPIC20R,31,"['request_for_payment_submitted_by_employee', 'request_for_payment_approved_by_pre_approver', 'request_for_payment_final_approved_by_supervisor', 'request_payment', 'payment_handled', '<EOS>']"
BPIC20R,32,"['request_for_payment_submitted_by_employee', 'request_for_payment_final_approved_by_supervisor', 'request_payment', 'payment_handled', '<EOS>']"
BPIC20R,33,"['request_for_payment_submitted_by_employee', 'request_for_payment_final_approved_by_supervisor', 'request_payment', 'payment_handled', '<EOS>']"
BPIC20R,34,"['request_for_payment_submitted_by_employee', 'request_for_payment_final_approved_by_supervisor', 'request_payment', 'payment_handled', '<EOS>']"
BPIC20R,35,"['request_for_payment_submitted_by_employee', 'request_for_payment_final_approved_by_supervisor', 'request_payment', 'payment_handled', '<EOS>']"
BPIC20R,36,"['request_for_payment_submitted_by_employee', 'request_for_payment_approved_by_pre_approver', 'request_for_payment_final_approved_by_supervisor', 'request_payment', 'payment_handled', '<EOS>']"
