model,case,activities
BPIC17Of,1,"['o_create_offer', 'o_created', 'o_sent_(online_only)', 'o_cancelled', '<EOS>']"
BPIC17Of,2,"['o_create_offer', 'o_created', 'o_sent_(mail_and_online)', 'o_cancelled', '<EOS>']"
BPIC17Of,3,"['o_create_offer', 'o_created', 'o_sent_(mail_and_online)', 'o_cancelled', '<EOS>']"
BPIC17Of,4,"['o_create_offer', 'o_created', 'o_sent_(mail_and_online)', 'o_returned', 'o_accepted', '<EOS>']"
BPIC17Of,5,"['o_create_offer', 'o_created', 'o_sent_(mail_and_online)', 'o_cancelled', '<EOS>']"
BPIC17Of,6,"['o_create_offer', 'o_created', 'o_sent_(mail_and_online)', 'o_returned', 'o_accepted', '<EOS>']"
BPIC17Of,7,"['o_create_offer', 'o_created', 'o_sent_(mail_and_online)', 'o_refused', '<EOS>']"
BPIC17Of,8,"['o_create_offer', 'o_created', 'o_sent_(mail_and_online)', 'o_cancelled', '<EOS>']"
BPIC17Of,9,"['o_create_offer', 'o_created', 'o_sent_(mail_and_online)', 'o_returned', 'o_accepted', '<EOS>']"
BPIC17Of,10,"['o_create_offer', 'o_created', 'o_sent_(mail_and_online)', 'o_returned', 'o_accepted', '<EOS>']"
BPIC17Of,11,"['o_create_offer', 'o_created', 'o_sent_(mail_and_online)', 'o_cancelled', '<EOS>']"
BPIC17Of,12,"['o_create_offer', 'o_created', 'o_sent_(mail_and_online)', 'o_cancelled', '<EOS>']"
BPIC17Of,13,"['o_create_offer', 'o_created', 'o_cancelled', '<EOS>']"
BPIC17Of,14,"['o_create_offer', 'o_created', 'o_sent_(mail_and_online)', 'o_returned', 'o_accepted', '<EOS>']"
BPIC17Of,15,"['o_create_offer', 'o_created', 'o_sent_(mail_and_online)', 'o_cancelled', '<EOS>']"
BPIC17Of,16,"['o_create_offer', 'o_created', 'o_sent_(mail_and_online)', 'o_returned', 'o_accepted', '<EOS>']"
BPIC17Of,17,"['o_create_offer', 'o_created', 'o_sent_(mail_and_online)', 'o_returned', 'o_cancelled', '<EOS>']"
BPIC17Of,18,"['o_create_offer', 'o_created', 'o_sent_(mail_and_online)', 'o_returned', 'o_refused', '<EOS>']"
BPIC17Of,19,"['o_create_offer', 'o_created', 'o_sent_(mail_and_online)', 'o_returned', 'o_accepted', '<EOS>']"
BPIC17Of,20,"['o_create_offer', 'o_created', 'o_sent_(mail_and_online)', 'o_returned', 'o_accepted', '<EOS>']"
BPIC17Of,21,"['o_create_offer', 'o_created', 'o_sent_(mail_and_online)', 'o_cancelled', '<EOS>']"
BPIC17Of,22,"['o_create_offer', 'o_created', 'o_cancelled', '<EOS>']"
BPIC17Of,23,"['o_create_offer', 'o_created', 'o_sent_(mail_and_online)', 'o_cancelled', '<EOS>']"
BPIC17Of,24,"['o_create_offer', 'o_created', 'o_sent_(mail_and_online)', 'o_cancelled', '<EOS>']"
BPIC17Of,25,"['o_create_offer', 'o_created', 'o_sent_(mail_and_online)', 'o_returned', 'o_cancelled', '<EOS>']"
BPIC17Of,26,"['o_create_offer', 'o_created', 'o_sent_(mail_and_online)', 'o_returned', 'o_accepted', '<EOS>']"
BPIC17Of,27,"['o_create_offer', 'o_created', 'o_sent_(mail_and_online)', 'o_cancelled', '<EOS>']"
BPIC17Of,28,"['o_create_offer', 'o_created', 'o_sent_(mail_and_online)', 'o_cancelled', '<EOS>']"
BPIC17Of,29,"['o_create_offer', 'o_created', 'o_sent_(mail_and_online)', 'o_cancelled', '<EOS>']"
BPIC17Of,30,"['o_create_offer', 'o_created', 'o_sent_(mail_and_online)', 'o_returned', 'o_accepted', '<EOS>']"
BPIC17Of,31,"['o_create_offer', 'o_created', 'o_sent_(mail_and_online)', 'o_cancelled', '<EOS>']"
BPIC17Of,32,"['o_create_offer', 'o_created', 'o_sent_(mail_and_online)', 'o_cancelled', '<EOS>']"
BPIC17Of,33,"['o_create_offer', 'o_created', 'o_sent_(mail_and_online)', 'o_returned', 'o_accepted', '<EOS>']"
BPIC17Of,34,"['o_create_offer', 'o_created', 'o_sent_(mail_and_online)', 'o_returned', 'o_accepted', '<EOS>']"
BPIC17Of,35,"['o_create_offer', 'o_created', 'o_cancelled', '<EOS>']"
BPIC17Of,36,"['o_create_offer', 'o_created', 'o_sent_(mail_and_online)', 'o_cancelled', '<EOS>']"
